le2m | 19/12/2015 - 10:33:12 | INFO | DÉCISION
le2m | 19/12/2015 - 10:33:12 | INFO | Dim-Latitude-E6520 (j2): 9
le2m | 19/12/2015 - 10:33:12 | INFO | Dim-Latitude-E6520 (j1): 10
le2m | 19/12/2015 - 10:33:12 | INFO | Dim-Latitude-E6520 (j3): 1
le2m | 19/12/2015 - 10:33:33 | INFO | Dim-Latitude-E6520 (j0): 5
le2m | 19/12/2015 - 10:33:33 | INFO | Ok Décision
le2m | 19/12/2015 - 10:33:33 | INFO | Somme des décisions
le2m | 19/12/2015 - 10:33:33 | INFO | G0: 25
le2m | 19/12/2015 - 10:33:33 | INFO | Calcul des gains de la période pour la partie CommonPoolResource
le2m | 19/12/2015 - 10:33:33 | INFO | GAINS
le2m | 19/12/2015 - 10:33:33 | INFO | Dim-Latitude-E6520 (j2): 45.28
le2m | 19/12/2015 - 10:33:33 | INFO | Dim-Latitude-E6520 (j3): 21.28
le2m | 19/12/2015 - 10:33:33 | INFO | Dim-Latitude-E6520 (j0): 33.28
le2m | 19/12/2015 - 10:33:33 | INFO | Dim-Latitude-E6520 (j1): 48.28
le2m | 19/12/2015 - 10:33:33 | INFO | run_step: Récapitulatif
le2m | 19/12/2015 - 10:33:33 | INFO | RÉCAPITULATIF
le2m | 19/12/2015 - 10:33:33 | INFO | Dim-Latitude-E6520 (j2): Ok
le2m | 19/12/2015 - 10:33:33 | INFO | Dim-Latitude-E6520 (j3): Ok
le2m | 19/12/2015 - 10:33:33 | INFO | Dim-Latitude-E6520 (j1): Ok
le2m | 19/12/2015 - 10:33:38 | INFO | Dim-Latitude-E6520 (j0): Ok
le2m | 19/12/2015 - 10:33:38 | INFO | Ok Récapitulatif
le2m | 19/12/2015 - 10:33:38 | INFO | Moyenne de la période
le2m | 19/12/2015 - 10:33:38 | INFO | 201512191008_g_0    6.25
le2m | 19/12/2015 - 10:33:38 | INFO | Période 3
le2m | 19/12/2015 - 10:33:38 | INFO | Période 3
le2m | 19/12/2015 - 10:33:38 | INFO | run_func: newperiod
le2m | 19/12/2015 - 10:33:38 | INFO | Dim-Latitude-E6520 (j0) Ready for period 3
le2m | 19/12/2015 - 10:33:38 | INFO | Dim-Latitude-E6520 (j2) Ready for period 3
le2m | 19/12/2015 - 10:33:38 | INFO | Dim-Latitude-E6520 (j3) Ready for period 3
le2m | 19/12/2015 - 10:33:38 | INFO | Dim-Latitude-E6520 (j1) Ready for period 3
